"Departamento","Tiempo_de_Entrega"
"Logística",3
"Logística",4
"Logística",5
"Logística",4
"Logística",6
"Logística",7
"Logística",5
"Logística",6
"Logística",8
"Logística",5
"Logística",6
"Logística",7
"Logística",8
"Logística",9
"Logística",7
"Control",2
"Control",3
"Control",3
"Control",4
"Control",5
"Control",4
"Control",3
"Control",4
"Control",5
"Control",6
"Control",4
"Control",5
"Control",6
"Control",7
"Control",5
"Producción",4
"Producción",5
"Producción",6
"Producción",5
"Producción",7
"Producción",6
"Producción",5
"Producción",6
"Producción",7
"Producción",5
"Producción",6
"Producción",8
"Producción",9
"Producción",8
"Producción",6
